loan_id,monthly_reporting_period,scenario,target,predicted_probability
100156916838,12018,Base,next_12m_default_flag,0.0006456900036516
100156916838,22018,Base,next_12m_default_flag,0.0006456900036516
100156916838,32018,Base,next_12m_default_flag,0.0006456900036516
100743858187,12018,Base,next_12m_default_flag,0.0006456900036516
100743858187,22018,Base,next_12m_default_flag,0.0006456900036516
100743858187,32018,Base,next_12m_default_flag,0.0006456900036516
100743858187,42018,Base,next_12m_default_flag,0.0006456900036516
100743858187,52018,Base,next_12m_default_flag,0.0006456900036516
100743858187,62018,Base,next_12m_default_flag,0.0006456900036516
100743858187,72018,Base,next_12m_default_flag,0.0006456900036516
100743858187,82018,Base,next_12m_default_flag,0.0006456900036516
100743858187,92018,Base,next_12m_default_flag,0.0006456900036516
100743858187,102018,Base,next_12m_default_flag,0.0006456900036516
100743858187,112018,Base,next_12m_default_flag,0.0006456900036516
100743858187,122018,Base,next_12m_default_flag,0.0006456900036516
100743858187,12019,Base,next_12m_default_flag,0.0006456900036516
100743858187,22019,Base,next_12m_default_flag,0.0006456900036516
100743858187,32019,Base,next_12m_default_flag,0.0006456900036516
100743858187,42019,Base,next_12m_default_flag,0.0006456900036516
100743858187,52019,Base,next_12m_default_flag,0.0006456900036516
100743858187,62019,Base,next_12m_default_flag,0.0006456900036516
100743858187,72019,Base,next_12m_default_flag,0.0006456900036516
100743858187,82019,Base,next_12m_default_flag,0.0006456900036516
100743858187,92019,Base,next_12m_default_flag,0.0006456900036516
100743858187,102019,Base,next_12m_default_flag,0.0006456900036516
100743858187,112019,Base,next_12m_default_flag,0.0006456900036516
100743858187,122019,Base,next_12m_default_flag,0.0006456900036516
100743858187,12020,Base,next_12m_default_flag,0.0006456900036516
100743858187,22020,Base,next_12m_default_flag,0.0006456900036516
100743858187,32020,Base,next_12m_default_flag,0.0006456900036516
100743858187,42020,Base,next_12m_default_flag,0.0006456900036516
100743858187,52020,Base,next_12m_default_flag,0.0006456900036516
100743858187,62020,Base,next_12m_default_flag,0.0006456900036516
100743858187,72020,Base,next_12m_default_flag,0.0006456900036516
100743858187,82020,Base,next_12m_default_flag,0.0006456900036516
100743858187,92020,Base,next_12m_default_flag,0.0006456900036516
100743858187,102020,Base,next_12m_default_flag,0.0006456900036516
100743858187,112020,Base,next_12m_default_flag,0.0006456900036516
100743858187,122020,Base,next_12m_default_flag,0.0006456900036516
100743858187,12021,Base,next_12m_default_flag,0.0006456900036516
100743858187,22021,Base,next_12m_default_flag,0.0006456900036516
100743858187,32021,Base,next_12m_default_flag,0.0006456900036516
100743858187,42021,Base,next_12m_default_flag,0.0006456900036516
100743858187,52021,Base,next_12m_default_flag,0.0006456900036516
100743858187,62021,Base,next_12m_default_flag,0.0006456900036516
100743858187,72021,Base,next_12m_default_flag,0.0006456900036516
100743858187,82021,Base,next_12m_default_flag,0.0006456900036516
100743858187,92021,Base,next_12m_default_flag,0.0006456900036516
100743858187,102021,Base,next_12m_default_flag,0.0006456900036516
100743858187,112021,Base,next_12m_default_flag,0.0006456900036516
100743858187,122021,Base,next_12m_default_flag,0.0006456900036516
100743858187,12022,Base,next_12m_default_flag,0.0006456900036516
100743858187,22022,Base,next_12m_default_flag,0.0006456900036516
100743858187,32022,Base,next_12m_default_flag,0.0006456900036516
100743858187,42022,Base,next_12m_default_flag,0.0006456900036516
